"","New domestic autos","New foreign autos","New light trucks","Net transactions in used autos","Used auto margin","Net transactions in used trucks","Used truck margin","Beef and veal","Pork","Poultry","Household cleaning products","Household paper products","Hair, dental, shaving, and miscellaneous personal care products except electrical products","Cosmetic / perfumes / bath / nail preparations and implements"
"2014-02-01",61759,26380,162569,22125,27903,36839,18584,43617,31829,51646,34756,35332,66411,43948
"2014-03-01",66563,27432,176769,22810,28344,37434,19066,43759,31930,51806,34739,35317,66488,44128
"2014-04-01",64466,26139,170861,22963,28269,37293,19174,44037,32131,52129,34976,35478,66935,44693
"2014-05-01",66328,26384,173913,23538,28827,37912,19672,44353,32360,52497,35079,35552,67170,45039
"2014-06-01",68104,27130,177621,24037,29272,38329,20068,44677,32595,52877,35197,35663,67351,45135
"2014-07-01",66729,26545,175064,24433,29451,38582,20376,44787,32674,53002,35183,35725,67461,45274
"2014-08-01",69617,25762,174423,24905,29732,39000,20769,44964,32802,53209,35300,35926,67825,45580
"2014-09-01",67256,24189,172321,26087,30970,40615,21802,44913,32765,53148,35196,35906,67769,45588
"2014-10-01",66242,24829,171952,26578,31291,41006,22179,45178,32958,53461,35192,36037,67996,46015
"2014-11-01",68708,23287,177188,26310,30838,40599,22116,45233,32998,53526,35204,36163,68306,46188
"2014-12-01",67271,25580,176261,27164,31555,41780,22912,45277,33031,53580,35136,36219,68374,46020
"2015-01-01",63486,22020,181108,27200,31038,41367,22843,45419,33135,53751,35250,36425,68946,46696
"2015-02-01",61949,22349,184913,28533,31996,42888,23817,45515,33206,53867,35041,36385,68861,46736
"2015-03-01",65660,24854,193896,28814,31764,42845,23899,45239,33005,53542,35239,36561,69490,46799
"2015-04-01",62668,22479,196603,30444,33000,44757,25046,45204,32980,53503,34920,36333,69026,46683
"2015-05-01",64063,22102,194799,30810,32845,44611,25014,44981,32818,53240,35053,36567,69427,46923
"2015-06-01",64572,21921,194161,30533,32016,43683,24514,45080,32891,53359,34962,36611,69608,47143
"2015-07-01",62204,20995,197765,31099,32076,44175,24783,45164,32952,53459,35134,36773,70119,47618
"2015-08-01",65061,22473,198079,30895,31343,43706,24486,45048,32868,53322,35174,36742,70174,47817
"2015-09-01",61241,21703,195549,31130,31061,43860,24511,45159,32949,53454,35458,37075,70787,47330
"2015-10-01",60657,21067,189038,31008,30424,43796,24388,44691,32607,52900,35259,36779,70383,47892
"2015-11-01",60264,21050,196486,32057,30925,45780,25374,44885,32749,53130,35511,36977,70720,48120
"2015-12-01",59091,20136,186786,31759,30112,45483,25063,44654,32580,52856,35722,37114,71106,48352
"2016-01-01",56918,19440,189570,32330,30388,47100,25580,44812,32695,53042,35595,36926,70714,48390
"2016-02-01",56792,19629,192552,34790,32455,50824,27233,45070,32883,53347,36027,37391,71736,49170
"2016-03-01",54633,19217,185890,32722,30337,48429,25631,44530,32489,52708,35886,37167,71269,48644
"2016-04-01",54026,19042,194909,32979,30425,49232,25764,44871,32738,53110,36019,37371,71470,48617
"2016-05-01",55503,20091,193432,31486,28944,47893,24808,44900,32759,53144,35980,37316,71339,48736
"2016-06-01",55800,20373,195809,32435,29749,50151,25739,45032,32856,53301,36252,37505,71838,49416
"2016-07-01",57580,21029,202877,32408,29699,51263,26094,44696,32610,52902,36112,37344,71477,48957
"2016-08-01",55346,20681,199293,32746,30025,52670,26619,44859,32729,53095,36135,37366,71523,49472
"2016-09-01",58090,20195,205443,31827,29244,52452,26347,44889,32751,53131,35963,37145,71094,49095
"2016-10-01",57880,19784,206692,32535,30001,54644,27309,45241,33007,53547,36206,37362,70814,48965
"2016-11-01",56592,19710,197748,31345,29052,53845,26803,45144,32936,53432,36112,37236,70738,49078
"2016-12-01",58876,19822,203914,33547,31301,58983,29275,45354,33090,53681,36186,37295,70970,49469
"2017-01-01",54160,18361,201904,32223,30319,57551,28513,45642,33300,54022,36699,37790,71605,49565
"2017-02-01",53450,18190,212644,30331,28792,54838,27102,45790,33408,54198,36538,37585,71504,49727
"2017-03-01",51906,18070,200827,30818,29527,55950,27566,46103,33637,54568,36807,37890,71903,49767
"2017-04-01",53591,17938,198845,30327,29340,55560,27270,46249,33743,54740,37013,38084,72392,50213
"2017-05-01",52435,17494,202363,30456,29765,57001,27855,46208,33713,54692,36636,37663,71715,49641
"2017-06-01",50895,17432,208169,30890,30509,59160,28766,46393,33848,54911,37090,38196,72634,49985
"2017-07-01",52397,18015,209811,30162,30118,59417,28729,46232,33731,54721,37031,38097,72603,50561
"2017-08-01",51189,18266,202672,29515,29808,59102,28400,46664,34046,55233,37207,38286,73100,50996
"2017-09-01",50545,19399,218163,30560,31228,62480,29823,46843,34177,55445,37584,38573,73334,50673
"2017-10-01",52656,19139,223547,30134,31165,63050,29877,46882,34205,55490,37408,38412,73136,50674
"2017-11-01",51743,19074,220442,29883,31292,64089,30136,47022,34307,55657,37557,38518,73729,51781
"2017-12-01",48555,18805,225764,29578,31369,65324,30467,47435,34608,56145,37953,38941,74125,51836
"2018-01-01",48099,17319,219111,29499,31695,66399,30705,47123,34381,55776,37815,38828,73978,51628
"2018-02-01",49406,16889,215888,28886,31463,66805,30666,47079,34349,55723,37781,38712,73880,52254
"2018-03-01",47126,15728,220732,28449,31434,67775,30919,47154,34403,55812,37709,38675,73713,51877
"2018-04-01",49212,15734,220447,27862,31254,68087,30901,47158,34406,55816,37769,38682,74162,52698
"2018-05-01",48481,16369,221026,28074,32000,70679,31945,47460,34627,56175,38415,39307,75161,53088
"2018-06-01",48261,15081,222128,26999,31303,69854,31473,47061,34336,55702,37956,38773,74157,52651
"2018-07-01",49708,14497,220981,26982,31857,72272,32492,47350,34546,56044,38101,38960,74456,52481
"2018-08-01",49215,14307,226975,25979,31277,71896,32284,47360,34553,56056,38214,39186,75063,52887
"2018-09-01",45212,15768,224992,25068,30819,71434,32070,47399,34582,56102,38171,39143,74804,52641
"2018-10-01",47974,15127,226513,23882,30034,70268,31571,47467,34632,56182,38328,39292,75281,53173
"2018-11-01",46955,15562,229153,23668,30507,72163,32480,47725,34820,56488,38734,39786,76654,54834
"2018-12-01",45379,14879,226557,22919,30347,71922,32463,47221,34452,55891,38022,39069,74017,51827
"2019-01-01",45365,16317,202252,21753,29665,70521,31957,48064,35068,56890,38607,39591,75909,53978
"2019-02-01",41494,15613,210983,20347,28584,68012,30866,46884,34206,55492,37809,38930,75499,54263
"2019-03-01",42573,15026,226536,21071,30494,73331,33246,47768,34851,56538,38392,39558,76046,54029
"2019-04-01",46455,14844,218301,19964,29759,71435,32263,48044,35052,56865,38626,39840,76498,54331
"2019-05-01",39220,15295,231137,18921,29038,70730,31736,48010,35028,56825,38480,39729,76594,54412
"2019-06-01",40479,16490,234952,18074,28543,70435,31313,48380,35298,57264,38576,39907,76857,54673
"2019-07-01",37072,15327,236906,17141,27838,71425,31378,49036,35777,58040,38904,40247,77014,54467
"2019-08-01",39493,14495,235058,16512,27551,72515,31400,49135,35849,58157,39071,40281,76895,54589
"2019-09-01",42159,14966,244712,16152,27658,75162,32000,48833,35629,57800,38860,40034,76331,54204
"2019-10-01",38159,14715,233099,15818,27760,77869,32521,49159,35867,58186,39140,40258,76675,54440
"2019-11-01",40026,14252,240280,15831,28430,82998,33926,49457,36083,58538,39248,40274,76391,54953
"2019-12-01",43244,13634,238501,14938,27399,82479,32929,49873,36387,59030,39564,40470,76136,54545
"2020-01-01",36751,13944,237295,13877,25943,80757,31433,49763,36307,58900,39964,40712,76762,54993
"2020-02-01",37283,14105,234066,14001,26650,84657,32209,49965,36454,59139,40113,40802,76858,55370
"2020-03-01",28319,8534,178883,11011,21311,69431,25884,63310,46191,74935,47061,48174,82885,52365
"2020-04-01",22326,6714,176181,8224,16168,54881,20086,55998,40856,66280,41989,42637,73056,45161
"2020-05-01",29475,11508,238627,13238,26415,94514,34011,57661,42069,68248,44472,44580,77203,50229
"2020-06-01",31127,11462,244064,14309,28937,108445,38454,57233,41757,67742,44872,44951,79591,53251
"2020-07-01",37144,12334,255595,14419,29501,112069,39249,57359,41849,67891,44711,44911,81168,56171
"2020-08-01",37863,12139,263580,14316,29577,112059,38851,56312,41085,66652,44212,44279,80705,56958
"2020-09-01",40574,13032,282059,13981,29113,110335,37951,56522,41238,66900,44858,45077,81865,56042
"2020-10-01",40154,13155,285124,13657,28605,108957,37258,56056,40899,66349,44481,44678,81821,57440
"2020-11-01",39709,12799,273605,13476,28338,108494,36957,56551,41260,66935,44279,44462,81012,57075
"2020-12-01",37539,13313,284521,13106,27613,106704,36278,55395,40416,65566,43486,43666,79313,54990
"2021-01-01",39065,15192,303262,13817,29111,113425,38563,57988,42308,68636,46801,47013,86309,61162
"2021-02-01",32732,14524,301112,13047,27488,108654,36941,56869,41491,67311,44819,45029,83005,59829
"2021-03-01",40188,14826,357628,17701,37294,147953,50302,58978,43030,69808,48926,49057,90971,64352
"2021-04-01",42769,16093,373265,19302,40668,158736,53968,58768,42877,69559,48276,48389,89837,64005
"2021-05-01",42544,16395,335259,18093,38120,147516,50153,58711,42835,69491,47427,47540,87705,62556
"2021-06-01",43259,15750,322536,17825,37557,145673,49527,59441,43368,70355,47850,48251,89960,63664
"2021-07-01",41994,15439,288172,16958,35730,141290,48037,59028,43067,69867,47225,47673,88793,62431
"2021-08-01",40216,14900,256657,17616,37115,147613,50186,60851,44397,72024,48628,49214,91634,64887
"2021-09-01",38998,13939,254973,18462,38899,155129,52742,61137,44606,72363,48738,49308,90979,63036
"2021-10-01",41096,10698,288963,18939,39903,159320,54167,61699,45015,73028,49351,49836,92063,65291
"2021-11-01",44355,10927,284180,18601,39192,156225,53114,61818,45102,73168,49432,49727,92312,66046
"2021-12-01",42597,12074,278020,18511,39002,154641,52576,61293,44719,72547,48931,49152,89829,62302
"2022-01-01",48335,13759,341594,19644,41389,163545,55603,62526,45619,74007,50280,50424,93077,65922
